epoch ,train/box_loss ,train/cls_loss ,train/dfl_loss ,metrics/precision(B) ,metrics/recall(B) ,metrics/mAP50(B) ,metrics/mAP50-95(B) ,val/box_loss ,val/cls_loss ,val/dfl_loss ,lr/pg0    ,lr/pg1    ,lr/pg2
   45 ,        1.4491 ,        1.4178 ,        1.4358 ,             0.76594 ,          0.59182 ,         0.68954 ,            0.45479 ,      1.1839 ,     0.99532 ,      1.2328 ,0.009274  ,0.009274  ,0.009274
   46 ,        1.4469 ,        1.4147 ,        1.4307 ,             0.76949 ,          0.59182 ,         0.69037 ,            0.45557 ,      1.1825 ,     0.99224 ,      1.2308 ,0.0092575 ,0.0092575 ,0.0092575
   47 ,        1.4459 ,        1.4143 ,        1.4297 ,             0.76695 ,          0.59488 ,         0.69136 ,            0.45667 ,      1.1806 ,     0.98898 ,      1.2288 ,0.009241  ,0.009241  ,0.009241
   48 ,        1.4441 ,        1.411  ,        1.4287 ,             0.76816 ,          0.59553 ,         0.69191 ,            0.4576  ,      1.1797 ,     0.98672 ,      1.2271 ,0.0092245 ,0.0092245 ,0.0092245
   49 ,        1.4407 ,        1.4098 ,        1.4263 ,             0.76579 ,          0.59831 ,         0.69253 ,            0.45771 ,      1.1787 ,     0.98433 ,      1.2258 ,0.009208  ,0.009208  ,0.009208
   50 ,        1.4399 ,        1.4118 ,        1.4265 ,             0.76673 ,          0.59868 ,         0.69333 ,            0.45881 ,      1.1782 ,     0.98295 ,      1.2248 ,0.0091915 ,0.0091915 ,0.0091915
   51 ,        1.4393 ,        1.4064 ,        1.4243 ,             0.76671 ,          0.60063 ,         0.69378 ,            0.45895 ,      1.177  ,     0.98057 ,      1.2235 ,0.009175  ,0.009175  ,0.009175
   52 ,        1.4346 ,        1.4062 ,        1.4186 ,             0.77382 ,          0.59872 ,         0.6948  ,            0.45996 ,      1.1744 ,     0.9788  ,      1.2213 ,0.0091585 ,0.0091585 ,0.0091585
   53 ,        1.4368 ,        1.4041 ,        1.422  ,             0.77675 ,          0.59757 ,         0.69559 ,            0.4606  ,      1.173  ,     0.97684 ,      1.2192 ,0.009142  ,0.009142  ,0.009142
   54 ,        1.4354 ,        1.3988 ,        1.4192 ,             0.77713 ,          0.59571 ,         0.6958  ,            0.4609  ,      1.1723 ,     0.97609 ,      1.2181 ,0.0091255 ,0.0091255 ,0.0091255
   55 ,        1.4356 ,        1.3987 ,        1.4172 ,             0.77963 ,          0.5968  ,         0.69583 ,            0.46131 ,      1.1718 ,     0.97469 ,      1.2168 ,0.009109  ,0.009109  ,0.009109
   56 ,        1.4329 ,        1.3977 ,        1.416  ,             0.77932 ,          0.59933 ,         0.69647 ,            0.46203 ,      1.1706 ,     0.97289 ,      1.2151 ,0.0090925 ,0.0090925 ,0.0090925
   57 ,        1.4306 ,        1.3957 ,        1.4119 ,             0.78164 ,          0.59831 ,         0.69654 ,            0.46241 ,      1.1691 ,     0.97131 ,      1.2133 ,0.009076  ,0.009076  ,0.009076
   58 ,        1.4333 ,        1.3967 ,        1.4135 ,             0.7814  ,          0.59869 ,         0.69684 ,            0.46243 ,      1.1682 ,     0.96992 ,      1.2124 ,0.0090595 ,0.0090595 ,0.0090595
   59 ,        1.4198 ,        1.3797 ,        1.407  ,             0.78328 ,          0.59828 ,         0.69777 ,            0.46354 ,      1.1662 ,     0.96658 ,      1.2107 ,0.009043  ,0.009043  ,0.009043
   60 ,        1.4298 ,        1.3958 ,        1.4134 ,             0.78222 ,          0.59905 ,         0.69811 ,            0.46386 ,      1.1652 ,     0.96355 ,      1.2102 ,0.0090265 ,0.0090265 ,0.0090265
   61 ,        1.4328 ,        1.3983 ,        1.4182 ,             0.78204 ,          0.59927 ,         0.69861 ,            0.46445 ,      1.1638 ,     0.96176 ,      1.2092 ,0.00901   ,0.00901   ,0.00901
   62 ,        1.4334 ,        1.3978 ,        1.4161 ,             0.78026 ,          0.59905 ,         0.69904 ,            0.46455 ,      1.1636 ,     0.96054 ,      1.2089 ,0.0089935 ,0.0089935 ,0.0089935
   63 ,        1.4315 ,        1.3998 ,        1.4115 ,             0.77877 ,          0.59942 ,         0.69869 ,            0.46506 ,      1.1631 ,     0.96005 ,      1.2075 ,0.008977  ,0.008977  ,0.008977
   64 ,        1.4321 ,        1.3968 ,        1.4129 ,             0.77782 ,          0.59933 ,         0.69915 ,            0.46489 ,      1.1617 ,     0.95904 ,      1.2063 ,0.0089605 ,0.0089605 ,0.0089605
   65 ,        1.429  ,        1.3946 ,        1.4105 ,             0.77777 ,          0.60046 ,         0.69925 ,            0.46498 ,      1.16   ,     0.95783 ,      1.2052 ,0.008944  ,0.008944  ,0.008944
   66 ,        1.4279 ,        1.3929 ,        1.4072 ,             0.7764  ,          0.60251 ,         0.69942 ,            0.46616 ,      1.1578 ,     0.95685 ,      1.2036 ,0.0089275 ,0.0089275 ,0.0089275
   67 ,        1.429  ,        1.3923 ,        1.4062 ,             0.77477 ,          0.60444 ,         0.69911 ,            0.4663  ,      1.1578 ,     0.95721 ,      1.203  ,0.008911  ,0.008911  ,0.008911
   68 ,        1.4262 ,        1.3912 ,        1.4057 ,             0.77383 ,          0.60369 ,         0.69944 ,            0.46686 ,      1.1572 ,     0.95506 ,      1.2016 ,0.0088945 ,0.0088945 ,0.0088945
   69 ,        1.4253 ,        1.3919 ,        1.4038 ,             0.77617 ,          0.60406 ,         0.6994  ,            0.46735 ,      1.1576 ,     0.95482 ,      1.2006 ,0.008878  ,0.008878  ,0.008878
   70 ,        1.4269 ,        1.3899 ,        1.4058 ,             0.77699 ,          0.60261 ,         0.69955 ,            0.46805 ,      1.1569 ,     0.95449 ,      1.1995 ,0.0088615 ,0.0088615 ,0.0088615
   71 ,        1.4189 ,        1.3872 ,        1.3992 ,             0.7822  ,          0.59951 ,         0.69957 ,            0.46804 ,      1.1557 ,     0.95396 ,      1.1985 ,0.008845  ,0.008845  ,0.008845
   72 ,        1.4224 ,        1.3841 ,        1.3988 ,             0.7811  ,          0.59989 ,         0.69971 ,            0.46852 ,      1.1557 ,     0.95433 ,      1.1978 ,0.0088285 ,0.0088285 ,0.0088285
   73 ,        1.4208 ,        1.3841 ,        1.3995 ,             0.78048 ,          0.59978 ,         0.69923 ,            0.4686  ,      1.1553 ,     0.95419 ,      1.1972 ,0.008812  ,0.008812  ,0.008812
   74 ,        1.4172 ,        1.3818 ,        1.3981 ,             0.78128 ,          0.59915 ,         0.69967 ,            0.46882 ,      1.1544 ,     0.95248 ,      1.1957 ,0.0087955 ,0.0087955 ,0.0087955
   75 ,        1.4204 ,        1.3815 ,        1.3965 ,             0.77472 ,          0.60119 ,         0.69973 ,            0.46898 ,      1.1533 ,     0.95173 ,      1.1943 ,0.008779  ,0.008779  ,0.008779
   76 ,        1.4217 ,        1.3824 ,        1.3987 ,             0.77369 ,          0.59961 ,         0.70011 ,            0.4692  ,      1.1534 ,     0.95116 ,      1.1938 ,0.0087625 ,0.0087625 ,0.0087625
   77 ,        1.4203 ,        1.3836 ,        1.3935 ,             0.77477 ,          0.60212 ,         0.70091 ,            0.46909 ,      1.1531 ,     0.95002 ,      1.1933 ,0.008746  ,0.008746  ,0.008746
   78 ,        1.4188 ,        1.3784 ,        1.3937 ,             0.77284 ,          0.60379 ,         0.70188 ,            0.4692  ,      1.1536 ,     0.94849 ,      1.1937 ,0.0087295 ,0.0087295 ,0.0087295
   79 ,        1.4153 ,        1.3806 ,        1.3939 ,             0.77557 ,          0.6036  ,         0.70186 ,            0.46948 ,      1.1527 ,     0.94813 ,      1.1926 ,0.008713  ,0.008713  ,0.008713
   80 ,        1.4163 ,        1.3766 ,        1.3918 ,             0.77878 ,          0.60267 ,         0.70246 ,            0.46992 ,      1.1532 ,     0.9484  ,      1.1927 ,0.0086965 ,0.0086965 ,0.0086965
   81 ,        1.4184 ,        1.3823 ,        1.3935 ,             0.77967 ,          0.60249 ,         0.70248 ,            0.46969 ,      1.1542 ,     0.94766 ,      1.193  ,0.00868   ,0.00868   ,0.00868
   82 ,        1.4131 ,        1.3744 ,        1.388  ,             0.78148 ,          0.60054 ,         0.70287 ,            0.47028 ,      1.1527 ,     0.94546 ,      1.1916 ,0.0086635 ,0.0086635 ,0.0086635
   83 ,        1.4161 ,        1.3769 ,        1.3887 ,             0.78205 ,          0.60332 ,         0.7037  ,            0.47037 ,      1.1534 ,     0.94546 ,      1.1915 ,0.008647  ,0.008647  ,0.008647
   84 ,        1.4107 ,        1.3689 ,        1.3871 ,             0.78188 ,          0.6037  ,         0.7049  ,            0.47079 ,      1.1525 ,     0.94469 ,      1.1902 ,0.0086305 ,0.0086305 ,0.0086305
   85 ,        1.4122 ,        1.3736 ,        1.386  ,             0.78435 ,          0.60137 ,         0.70522 ,            0.47081 ,      1.1515 ,     0.9439  ,      1.1891 ,0.008614  ,0.008614  ,0.008614
   86 ,        1.4089 ,        1.368  ,        1.3885 ,             0.78635 ,          0.60017 ,         0.70571 ,            0.47154 ,      1.1513 ,     0.94352 ,      1.1892 ,0.0085975 ,0.0085975 ,0.0085975
   87 ,        1.4112 ,        1.3675 ,        1.3858 ,             0.78966 ,          0.60093 ,         0.70555 ,            0.47211 ,      1.1522 ,     0.94137 ,      1.1892 ,0.008581  ,0.008581  ,0.008581
   88 ,        1.4117 ,        1.3731 ,        1.3854 ,             0.78832 ,          0.60239 ,         0.70569 ,            0.47207 ,      1.1512 ,     0.94152 ,      1.188  ,0.0085645 ,0.0085645 ,0.0085645
   89 ,        1.4106 ,        1.372  ,        1.3848 ,             0.78726 ,          0.60402 ,         0.70534 ,            0.47188 ,      1.1502 ,     0.94211 ,      1.1874 ,0.008548  ,0.008548  ,0.008548
   90 ,        1.4104 ,        1.3688 ,        1.382  ,             0.78709 ,          0.6036  ,         0.70549 ,            0.47231 ,      1.1495 ,     0.94237 ,      1.1864 ,0.0085315 ,0.0085315 ,0.0085315
   91 ,        1.4117 ,        1.3689 ,        1.3804 ,             0.78793 ,          0.60297 ,         0.70531 ,            0.47242 ,      1.1496 ,     0.94195 ,      1.1865 ,0.008515  ,0.008515  ,0.008515
   92 ,        1.4081 ,        1.3666 ,        1.38   ,             0.7851  ,          0.60306 ,         0.70588 ,            0.47303 ,      1.1486 ,     0.94104 ,      1.1854 ,0.0084985 ,0.0084985 ,0.0084985
   93 ,        1.4071 ,        1.3664 ,        1.3803 ,             0.78491 ,          0.60441 ,         0.70587 ,            0.4736  ,      1.1479 ,     0.94018 ,      1.1846 ,0.008482  ,0.008482  ,0.008482
   94 ,        1.4097 ,        1.3691 ,        1.3811 ,             0.78002 ,          0.60676 ,         0.70627 ,            0.47414 ,      1.1457 ,     0.93831 ,      1.1828 ,0.0084655 ,0.0084655 ,0.0084655
   95 ,        1.4054 ,        1.3664 ,        1.3783 ,             0.78228 ,          0.60666 ,         0.7061  ,            0.47427 ,      1.1445 ,     0.93687 ,      1.1819 ,0.008449  ,0.008449  ,0.008449
   96 ,        1.4047 ,        1.3644 ,        1.3761 ,             0.7819  ,          0.60703 ,         0.70619 ,            0.47454 ,      1.143  ,     0.93571 ,      1.181  ,0.0084325 ,0.0084325 ,0.0084325
   97 ,        1.4087 ,        1.3642 ,        1.3773 ,             0.78258 ,          0.60587 ,         0.70627 ,            0.47493 ,      1.1426 ,     0.93551 ,      1.1801 ,0.008416  ,0.008416  ,0.008416
   98 ,        1.4062 ,        1.363  ,        1.3775 ,             0.78545 ,          0.6062  ,         0.7068  ,            0.47474 ,      1.1437 ,     0.93533 ,      1.1803 ,0.0083995 ,0.0083995 ,0.0083995
   99 ,        1.4017 ,        1.3584 ,        1.3725 ,             0.78717 ,          0.60583 ,         0.70712 ,            0.47481 ,      1.1425 ,     0.9341  ,      1.1794 ,0.008383  ,0.008383  ,0.008383
  100 ,        1.4052 ,        1.3636 ,        1.3764 ,             0.78274 ,          0.60861 ,         0.7077  ,            0.4753  ,      1.1421 ,     0.93433 ,      1.1795 ,0.0083665 ,0.0083665 ,0.0083665
  101 ,        1.4017 ,        1.3584 ,        1.373  ,             0.78442 ,          0.60722 ,         0.70769 ,            0.47514 ,      1.1423 ,     0.93341 ,      1.1788 ,0.00835   ,0.00835   ,0.00835
  102 ,        1.4013 ,        1.3561 ,        1.3729 ,             0.78107 ,          0.60972 ,         0.70737 ,            0.47546 ,      1.1424 ,     0.9325  ,      1.1787 ,0.0083335 ,0.0083335 ,0.0083335
  103 ,        1.4036 ,        1.3613 ,        1.3739 ,             0.77906 ,          0.61084 ,         0.70784 ,            0.47569 ,      1.143  ,     0.93164 ,      1.1786 ,0.008317  ,0.008317  ,0.008317
  104 ,        1.4046 ,        1.358  ,        1.3705 ,             0.781   ,          0.60713 ,         0.70758 ,            0.47553 ,      1.1428 ,     0.93188 ,      1.1778 ,0.0083005 ,0.0083005 ,0.0083005
  105 ,        1.4028 ,        1.3602 ,        1.3723 ,             0.77855 ,          0.60972 ,         0.70769 ,            0.47584 ,      1.1417 ,     0.93005 ,      1.1768 ,0.008284  ,0.008284  ,0.008284
  106 ,        1.4005 ,        1.3553 ,        1.3699 ,             0.78174 ,          0.6088  ,         0.70785 ,            0.47598 ,      1.1426 ,     0.92911 ,      1.1768 ,0.0082675 ,0.0082675 ,0.0082675
  107 ,        1.3998 ,        1.3524 ,        1.3681 ,             0.7838  ,          0.60815 ,         0.70841 ,            0.47594 ,      1.1422 ,     0.93032 ,      1.1755 ,0.008251  ,0.008251  ,0.008251
  108 ,        1.3995 ,        1.3567 ,        1.3664 ,             0.78383 ,          0.60991 ,         0.70819 ,            0.47616 ,      1.1435 ,     0.92965 ,      1.1754 ,0.0082345 ,0.0082345 ,0.0082345
  109 ,        1.3998 ,        1.3528 ,        1.3695 ,             0.77936 ,          0.61093 ,         0.70837 ,            0.47664 ,      1.1424 ,     0.92973 ,      1.1748 ,0.008218  ,0.008218  ,0.008218
  110 ,        1.3948 ,        1.3512 ,        1.3645 ,             0.77465 ,          0.61492 ,         0.70883 ,            0.47654 ,      1.1429 ,     0.92924 ,      1.1743 ,0.0082015 ,0.0082015 ,0.0082015
  111 ,        1.3968 ,        1.3501 ,        1.3656 ,             0.7783  ,          0.61177 ,         0.70858 ,            0.47682 ,      1.143  ,     0.92933 ,      1.1735 ,0.008185  ,0.008185  ,0.008185
  112 ,        1.3964 ,        1.3462 ,        1.3639 ,             0.77809 ,          0.61167 ,         0.70967 ,            0.4768  ,      1.1428 ,     0.92871 ,      1.1726 ,0.0081685 ,0.0081685 ,0.0081685
  113 ,        1.3961 ,        1.3442 ,        1.3617 ,             0.77615 ,          0.61354 ,         0.7099  ,            0.47649 ,      1.1437 ,     0.92875 ,      1.1723 ,0.008152  ,0.008152  ,0.008152
  114 ,        1.3963 ,        1.3448 ,        1.3632 ,             0.77519 ,          0.61501 ,         0.71009 ,            0.4763  ,      1.1441 ,     0.9284  ,      1.1724 ,0.0081355 ,0.0081355 ,0.0081355
  115 ,        1.3941 ,        1.3453 ,        1.3622 ,             0.77976 ,          0.61202 ,         0.71011 ,            0.47656 ,      1.1443 ,     0.92804 ,      1.1726 ,0.008119  ,0.008119  ,0.008119
  116 ,        1.3957 ,        1.3474 ,        1.3633 ,             0.78215 ,          0.61362 ,         0.71018 ,            0.47658 ,      1.1431 ,     0.92698 ,      1.1718 ,0.0081025 ,0.0081025 ,0.0081025
  117 ,        1.3957 ,        1.348  ,        1.3595 ,             0.78324 ,          0.61167 ,         0.71034 ,            0.47708 ,      1.1424 ,     0.92579 ,      1.171  ,0.008086  ,0.008086  ,0.008086
  118 ,        1.3955 ,        1.3453 ,        1.3608 ,             0.78193 ,          0.61386 ,         0.70991 ,            0.47736 ,      1.1419 ,     0.92509 ,      1.1705 ,0.0080695 ,0.0080695 ,0.0080695
  119 ,        1.393  ,        1.3465 ,        1.3581 ,             0.78001 ,          0.6149  ,         0.71005 ,            0.47745 ,      1.142  ,     0.92525 ,      1.1706 ,0.008053  ,0.008053  ,0.008053
  120 ,        1.3937 ,        1.3407 ,        1.3604 ,             0.77561 ,          0.61687 ,         0.71042 ,            0.47692 ,      1.141  ,     0.92392 ,      1.1695 ,0.0080365 ,0.0080365 ,0.0080365
  121 ,        1.3953 ,        1.3447 ,        1.3587 ,             0.77691 ,          0.61826 ,         0.71142 ,            0.47808 ,      1.14   ,     0.92203 ,      1.1687 ,0.00802   ,0.00802   ,0.00802
  122 ,        1.3884 ,        1.3428 ,        1.3583 ,             0.78351 ,          0.61556 ,         0.71187 ,            0.47798 ,      1.1391 ,     0.92161 ,      1.1684 ,0.0080035 ,0.0080035 ,0.0080035
  123 ,        1.3928 ,        1.345  ,        1.3601 ,             0.78154 ,          0.61548 ,         0.71212 ,            0.47795 ,      1.1386 ,     0.92207 ,      1.1682 ,0.007987  ,0.007987  ,0.007987
  124 ,        1.3922 ,        1.3448 ,        1.3585 ,             0.77691 ,          0.61818 ,         0.71234 ,            0.47849 ,      1.1371 ,     0.92087 ,      1.1669 ,0.0079705 ,0.0079705 ,0.0079705
  125 ,        1.3893 ,        1.3382 ,        1.3558 ,             0.78318 ,          0.61368 ,         0.71223 ,            0.47881 ,      1.1368 ,     0.91994 ,      1.166  ,0.007954  ,0.007954  ,0.007954
  126 ,        1.3892 ,        1.3396 ,        1.3556 ,             0.78006 ,          0.61613 ,         0.71213 ,            0.47864 ,      1.1359 ,     0.92037 ,      1.1655 ,0.0079375 ,0.0079375 ,0.0079375
  127 ,        1.3899 ,        1.3416 ,        1.3564 ,             0.78356 ,          0.61406 ,         0.71185 ,            0.47907 ,      1.1353 ,     0.92092 ,      1.1648 ,0.007921  ,0.007921  ,0.007921
  128 ,        1.3845 ,        1.3372 ,        1.3538 ,             0.78134 ,          0.61715 ,         0.71232 ,            0.47899 ,      1.1356 ,     0.92017 ,      1.1643 ,0.0079045 ,0.0079045 ,0.0079045
  129 ,        1.3878 ,        1.3359 ,        1.353  ,             0.7781  ,          0.61821 ,         0.71261 ,            0.47891 ,      1.1357 ,     0.92018 ,      1.1645 ,0.007888  ,0.007888  ,0.007888
  130 ,        1.3914 ,        1.34   ,        1.3534 ,             0.77996 ,          0.61671 ,         0.71247 ,            0.47891 ,      1.1354 ,     0.91962 ,      1.1636 ,0.0078715 ,0.0078715 ,0.0078715
